"Registration";"Lfz.-Muster/Typ";"Hersteller - Eigentümer/Halter"
"HB-1016";"STANDARD LIBELLE";"GLASFLÜGEL ING EUGEN HÄNLE"
"HB-1018";"ASW 15";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1029";"ASW 15";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1036";"STANDARD LIBELLE 201 B";"GLASFLÜGEL ING EUGEN HÄNLE"
"HB-1043";"AN 17";"AMATEURBAU"
"HB-1052";"KA 6CR";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1055";"STANDARD LIBELLE";"GLASFLÜGEL ING EUGEN HÄNLE"
"HB-1061";"LS 1-d";"ROLLADEN-SCHNEIDER OHG"
"HB-1066";"STANDARD LIBELLE 201 B";"GLASFLÜGEL ING EUGEN HÄNLE"
"HB-1080";"ELFE MK";"AMATEURBAU"
"HB-1082";"STANDARD LIBELLE 201 B";"GLASFLÜGEL ING EUGEN HÄNLE"
"HB-1085";"STANDARD LIBELLE 201 B";"GLASFLÜGEL ING EUGEN HÄNLE"
"HB-1087";"ELFE 17";"AMATEURBAU"
"HB-1100";"B4-PC 11AF";"PILATUS FLUGZEUGWERKE AG"
"HB-1101";"B4-PC 11";"PILATUS FLUGZEUGWERKE AG"
"HB-1105";"B4-PC 11";"PILATUS FLUGZEUGWERKE AG"
"HB-1108";"B4-PC 11";"PILATUS FLUGZEUGWERKE AG"
"HB-1116";"B4-PC 11A";"PILATUS FLUGZEUGWERKE AG"
"HB-1122";"B4-PC 11";"PILATUS FLUGZEUGWERKE AG"
"HB-1123";"B4-PC 11AF";"PILATUS FLUGZEUGWERKE AG"
"HB-1128";"B4-PC 11AF";"PILATUS FLUGZEUGWERKE AG"
"HB-1131";"B4-PC 11AF";"PILATUS FLUGZEUGWERKE AG"
"HB-1132";"B4-PC 11AF";"PILATUS FLUGZEUGWERKE AG"
"HB-1139";"B4-PC 11AF";"PILATUS FLUGZEUGWERKE AG"
"HB-1156";"STANDARD LIBELLE 201 B";"GLASFLÜGEL ING EUGEN HÄNLE"
"HB-1163";"ELFE S4";"AMATEURBAU"
"HB-1165";"ELFE 17";"AMATEURBAU"
"HB-1166";"ELFE 17";"SEGELFLUGZEUGBAU A. NEUKOM"
"HB-1168";"STANDARD LIBELLE 201 B";"GLASFLÜGEL ING EUGEN HÄNLE"
"HB-1169";"ELFE S4";"AMATEURBAU"
"HB-1178";"ELFE 17";"SEGELFLUGZEUGBAU A. NEUKOM"
"HB-1182";"ELFE 17A";"AMATEURBAU"
"HB-1192";"STANDARD LIBELLE 201 B";"GLASFLÜGEL ING EUGEN HÄNLE"
"HB-1225";"KESTREL";"GLASFLÜGEL ING EUGEN HÄNLE"
"HB-1227";"SPERBER";"HOMEBUILT (CH)"
"HB-1233";"STANDARD CIRRUS";"SCHEMPP-HIRTH KG"
"HB-1245";"RHÖNLERCHE II";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1249";"CLUB LIBELLE 205";"GLASFLÜGEL ING EUGEN HÄNLE"
"HB-1252";"B4-PC 11AF";"PILATUS FLUGZEUGWERKE AG"
"HB-1255";"B4-PC 11A";"PILATUS FLUGZEUGWERKE AG"
"HB-1257";"B4-PC 11AF";"PILATUS FLUGZEUGWERKE AG"
"HB-1268";"CLUB LIBELLE 205";"GLASFLÜGEL ING EUGEN HÄNLE"
"HB-1275";"ELFE 17A";"SEGELFLUGZEUGBAU A. NEUKOM"
"HB-1279";"ELFE S4A";"SEGELFLUGZEUGBAU A. NEUKOM"
"HB-1293";"STANDARD CIRRUS";"SCHEMPP-HIRTH KG"
